,zip,borough,neighborhood,deathper100k,whitepct,medianincome,asthmapct,popdens,medianage,housesize
0,10001,Manhattan,Chelsea/NoMad/West Chelsea,94.16,62.91,88526,9.6,37291.65,37,1.76
1,10002,Manhattan,Chinatown/Lower East Side,252.25,32.23,35859,9.2,85336.07,44,2.18
2,10003,Manhattan,East Village/Gramercy/Greenwich Village,68.55,75.91,112131,10.1,94859.59,32,1.7
3,10004,Manhattan,Financial District,67.29,62.81,157645,9.2,5554.12,37,1.82
4,10005,Manhattan,Financial District,0.0,73.42,173333,9.4,121496.87,30,2.02
5,10006,Manhattan,Financial District,29.57,69.8,176250,9.2,37700.43,32,1.93
6,10007,Manhattan,TriBeCa,57.21,77.19,246813,9.3,44075.29,36,2.25
7,10009,Manhattan,Alphabet City/East Village/Stuyvesant Town-Cooper Village,143.48,61.83,61548,10.2,93952.95,37,1.93
8,10010,Manhattan,Flatiron/Gramercy/Kips Bay,83.95,73.18,117923,9.7,88379.64,35,1.85
9,10011,Manhattan,Chelsea,94.48,79.91,128613,9.7,76291.13,41,1.68
10,10012,Manhattan,Greenwich Village/SoHo,51.83,74.37,109037,9.5,72416.2,34,1.83
11,10013,Manhattan,Hudson Square/Little Italy/SoHo/TriBeCa,76.34,55.6,105442,9.1,52176.55,38,2.23
12,10014,Manhattan,Hudson Square/Meatpacking District/West Village,89.0,88.86,126601,9.9,55916.45,38,1.66
13,10016,Manhattan,Kips Bay/Murray Hill/NoMad,96.24,71.93,117004,9.7,95951.78,34,1.71
14,10017,Manhattan,East Midtown/Murray Hill,89.67,73.94,127506,9.5,49849.83,40,1.57
15,10018,Manhattan,Hell's Kitchen/Midtown Manhattan,59.37,59.78,108914,9.1,30001.95,33,1.88
16,10019,Manhattan,Hell's Kitchen/Midtown Manhattan,114.88,67.87,98833,9.3,63563.56,40,1.7
17,10021,Manhattan,Lenox Hill/Upper East Side,159.13,82.26,118289,10.0,121297.62,41,1.83
18,10022,Manhattan,East Midtown,122.99,83.62,135363,9.8,72810.42,48,1.69
19,10023,Manhattan,Lincoln Square,92.26,79.75,130452,9.8,127433.45,43,1.8
20,10024,Manhattan,Upper West Side,135.25,83.09,131668,10.0,68752.35,43,2.02
21,10025,Manhattan,Manhattan Valley/Morningside Heights/Upper West Side,215.02,64.64,85930,10.5,123470.67,41,2.09
22,10026,Manhattan,Central Harlem (South),150.01,26.45,58884,12.3,118443.74,35,2.48
23,10027,Manhattan,Central Harlem (South)/Morningside Heights/West Harlem,200.33,30.53,46113,11.9,74280.19,31,2.4
24,10028,Manhattan,Upper East Side/Yorkville,78.11,86.24,125140,10.0,152562.17,39,1.88
25,10029,Manhattan,East Harlem,304.25,33.79,34016,11.0,98058.83,35,2.4
26,10030,Manhattan,Central Harlem (North),215.24,16.86,37232,13.0,107115.08,36,2.3
27,10031,Manhattan,Hamilton Heights/West Harlem,249.05,29.74,49891,11.3,92806.12,34,2.72
28,10032,Manhattan,Washington Heights (South),302.93,29.76,50391,10.7,98152.84,35,2.98
29,10033,Manhattan,Washington Heights (North)/Washington Heights (South),223.86,40.5,58614,10.4,99980.21,36,2.99
30,10034,Manhattan,Inwood/Washington Heights (North),177.55,38.37,54716,10.6,39355.24,36,2.66
31,10035,Manhattan,East Harlem,405.79,20.27,30081,11.4,25093.67,36,2.27
32,10036,Manhattan,Hell's Kitchen/Midtown Manhattan,165.19,63.14,91936,9.2,62428.59,37,1.66
33,10037,Manhattan,Central Harlem (North)/East Harlem,365.5,10.84,45041,13.4,82131.8,35,2.14
34,10038,Manhattan,Chinatown/Financial District,139.95,51.68,86058,9.6,76073.28,36,2.11
35,10039,Manhattan,Central Harlem (North)/Washington Heights (South),264.89,13.07,39653,13.0,63397.48,34,2.44
36,10040,Manhattan,Washington Heights (North),304.78,36.1,47137,10.4,116782.26,37,2.66
37,10044,Manhattan,Roosevelt Island,317.0,45.54,100441,9.7,50775.19,42,2.13
38,10065,Manhattan,Lenox Hill/Upper East Side,114.7,86.4,127375,9.8,73936.22,40,1.87
39,10069,Manhattan,Lincoln Square,47.74,62.05,110625,9.9,52882.82,36,1.99
