Zipcode,Borough,Neighborhood,Deaths Per Capita,White
10001,Manhattan,Chelsea/NoMad/West Chelsea,94.16,62.91
10002,Manhattan,Chinatown/Lower East Side,252.25,32.23
10003,Manhattan,East Village/Gramercy/Greenwich Village,68.55,75.91
10004,Manhattan,Financial District,67.29,62.81
10005,Manhattan,Financial District,0,73.42
10006,Manhattan,Financial District,29.57,69.8
10007,Manhattan,TriBeCa,57.21,77.19
10009,Manhattan,Alphabet City/East Village/Stuyvesant Town-Cooper Village,143.48,61.83
10010,Manhattan,Flatiron/Gramercy/Kips Bay,83.95,73.18
10011,Manhattan,Chelsea,94.48,79.91
10012,Manhattan,Greenwich Village/SoHo,51.83,74.37
10013,Manhattan,Hudson Square/Little Italy/SoHo/TriBeCa,76.34,55.6
10014,Manhattan,Hudson Square/Meatpacking District/West Village,89,88.86
10016,Manhattan,Kips Bay/Murray Hill/NoMad,96.24,71.93
10017,Manhattan,East Midtown/Murray Hill,89.67,73.94
10018,Manhattan,Hell's Kitchen/Midtown Manhattan,59.37,59.78
10019,Manhattan,Hell's Kitchen/Midtown Manhattan,114.88,67.87
10021,Manhattan,Lenox Hill/Upper East Side,159.13,82.26
10022,Manhattan,East Midtown,122.99,83.62
10023,Manhattan,Lincoln Square,92.26,79.75
10024,Manhattan,Upper West Side,135.25,83.09
10025,Manhattan,Manhattan Valley/Morningside Heights/Upper West Side,215.02,64.64
10026,Manhattan,Central Harlem (South),150.01,26.45
10027,Manhattan,Central Harlem (South)/Morningside Heights/West Harlem,200.33,30.53
10028,Manhattan,Upper East Side/Yorkville,78.11,86.24
10029,Manhattan,East Harlem,304.25,33.79
10030,Manhattan,Central Harlem (North),215.24,16.86
10031,Manhattan,Hamilton Heights/West Harlem,249.05,29.74
10032,Manhattan,Washington Heights (South),302.93,29.76
10033,Manhattan,Washington Heights (North)/Washington Heights (South),223.86,40.5
10034,Manhattan,Inwood/Washington Heights (North),177.55,38.37
10035,Manhattan,East Harlem,405.79,20.27
10036,Manhattan,Hell's Kitchen/Midtown Manhattan,165.19,63.14
10037,Manhattan,Central Harlem (North)/East Harlem,365.5,10.84
10038,Manhattan,Chinatown/Financial District,139.95,51.68
10039,Manhattan,Central Harlem (North)/Washington Heights (South),264.89,13.07
10040,Manhattan,Washington Heights (North),304.78,36.1
10044,Manhattan,Roosevelt Island,317,45.54
10065,Manhattan,Lenox Hill/Upper East Side,114.7,86.4
10069,Manhattan,Lincoln Square,47.74,62.05
10075,Manhattan,Lenox Hill/Upper East Side,212.63,85.34
10128,Manhattan,Upper East Side/Yorkville,81.97,79.6
10280,Manhattan,Battery Park City,10.7,78.43
10282,Manhattan,Battery Park City,251.26,74.25
10301,Staten Island,Silver Lake/St. George,313.58,57.52
10302,Staten Island,Elm Park,227.21,62
10303,Staten Island,Graniteville/Mariner's Harbor/Port Ivory,226.31,43.96
10304,Staten Island,New Dorp/Todt Hill,518.06,52.12
10305,Staten Island,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,233.34,73.7
10306,Staten Island,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,318.14,85.73
10307,Staten Island,Tottenville,134.12,93.78
10308,Staten Island,Great Kills,154.26,92.13
10309,Staten Island,Charleston/Prince's Bay/Woodrow,133.58,91.82
10310,Staten Island,Port Richmond/Randall Manor/West Brighton,187.7,59.03
10312,Staten Island,Annadale/Rossville,137.59,91.07
10314,Staten Island,Bloomfield/Freshkills Park,293.98,73.06
10451,Bronx,Concourse/Melrose,325.12,12.49
10452,Bronx,Concourse/Highbridge,255.28,12.61
10453,Bronx,Morris Heights/Mount Hope/University Heights,235.14,8.59
10454,Bronx,Mott Haven/Port Morris,330.43,13.19
10455,Bronx,Mott Haven,284.05,12.35
10456,Bronx,Claremont/Morrisania,321.91,10.77
10457,Bronx,Belmont/Claremont/Mount Hope/Tremont,272.65,15.36
10458,Bronx,Belmont/Fordham University/Kingsbridge,177.66,17.73
10459,Bronx,Charlotte Gardens/Hunts Point,367.64,11.61
10460,Bronx,Charlotte Gardens/Tremont/Van Nest/West Farms,247.98,15.75
10461,Bronx,Morris Park/Pelham Bay/Westchester Square,305.51,48.2
10462,Bronx,Parkchester/Pelham Parkway/Van Nest/Westchester Square,268.2,23.19
10463,Bronx,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,350.08,45
10464,Bronx,City Island,256.69,78.82
10465,Bronx,Country Club/Throgs Neck,243.49,60.3
10466,Bronx,Edenwald/Wakefield,256.63,11.08
10467,Bronx,Allerton/Norwood/Pelham Parkway/Williamsbridge,348.82,22.62
10468,Bronx,Fordham/Kingsbridge/University Heights,311.01,12.63
10469,Bronx,Allerton/Baychester/Pelham Gardens/Williamsbridge,534.31,18.81
10470,Bronx,Wakefield/Woodlawn,180.1,42.59
10471,Bronx,Fieldston/North Riverdale/Riverdale,466.08,68.66
10472,Bronx,Soundview,322.16,14.93
10473,Bronx,Castle Hill/Clason Point/Soundview,289.29,37.51
10474,Bronx,Hunts Point,192.06,9.22
10475,Bronx,Co-op City/Edenwald,453.94,17.78
11004,Queens,Bellerose/Douglaston-Little Neck,390.51,42.02
11101,Queens,Astoria (South)/Long Island City/Sunnyside,127.59,42.99
11102,Queens,Astoria (North),339.49,59.11
11103,Queens,Astoria (North)/Astoria (South),206.08,70.92
11104,Queens,Sunnyside,192.63,66.84
11105,Queens,Ditmars Steinway,154.74,74.55
11106,Queens,Astoria (South),179.01,54.05
11109,Queens,Long Island City,34.71,67.1
