Zipcode,Borough,Neighborhood,Deaths Per Capita,Median HHI
10001,Manhattan,Chelsea/NoMad/West Chelsea,94.16,88526
10002,Manhattan,Chinatown/Lower East Side,252.25,35859
10003,Manhattan,East Village/Gramercy/Greenwich Village,68.55,112131
10004,Manhattan,Financial District,67.29,157645
10005,Manhattan,Financial District,0,173333
10006,Manhattan,Financial District,29.57,176250
10007,Manhattan,TriBeCa,57.21,246813
10009,Manhattan,Alphabet City/East Village/Stuyvesant Town-Cooper Village,143.48,61548
10010,Manhattan,Flatiron/Gramercy/Kips Bay,83.95,117923
10011,Manhattan,Chelsea,94.48,128613
10012,Manhattan,Greenwich Village/SoHo,51.83,109037
10013,Manhattan,Hudson Square/Little Italy/SoHo/TriBeCa,76.34,105442
10014,Manhattan,Hudson Square/Meatpacking District/West Village,89,126601
10016,Manhattan,Kips Bay/Murray Hill/NoMad,96.24,117004
10017,Manhattan,East Midtown/Murray Hill,89.67,127506
10018,Manhattan,Hell's Kitchen/Midtown Manhattan,59.37,108914
10019,Manhattan,Hell's Kitchen/Midtown Manhattan,114.88,98833
10021,Manhattan,Lenox Hill/Upper East Side,159.13,118289
10022,Manhattan,East Midtown,122.99,135363
10023,Manhattan,Lincoln Square,92.26,130452
10024,Manhattan,Upper West Side,135.25,131668
10025,Manhattan,Manhattan Valley/Morningside Heights/Upper West Side,215.02,85930
10026,Manhattan,Central Harlem (South),150.01,58884
10027,Manhattan,Central Harlem (South)/Morningside Heights/West Harlem,200.33,46113
10028,Manhattan,Upper East Side/Yorkville,78.11,125140
10029,Manhattan,East Harlem,304.25,34016
10030,Manhattan,Central Harlem (North),215.24,37232
10031,Manhattan,Hamilton Heights/West Harlem,249.05,49891
10032,Manhattan,Washington Heights (South),302.93,50391
10033,Manhattan,Washington Heights (North)/Washington Heights (South),223.86,58614
10034,Manhattan,Inwood/Washington Heights (North),177.55,54716
10035,Manhattan,East Harlem,405.79,30081
10036,Manhattan,Hell's Kitchen/Midtown Manhattan,165.19,91936
