Zipcode,Borough,Neighborhood,Deaths Per Capita,Population Density
10001,Manhattan,Chelsea/NoMad/West Chelsea,94.16,37291.65
10002,Manhattan,Chinatown/Lower East Side,252.25,85336.07
10003,Manhattan,East Village/Gramercy/Greenwich Village,68.55,94859.59
10004,Manhattan,Financial District,67.29,5554.12
10005,Manhattan,Financial District,0,121496.87
10006,Manhattan,Financial District,29.57,37700.43
10007,Manhattan,TriBeCa,57.21,44075.29
10009,Manhattan,Alphabet City/East Village/Stuyvesant Town-Cooper Village,143.48,93952.95
10010,Manhattan,Flatiron/Gramercy/Kips Bay,83.95,88379.64
10011,Manhattan,Chelsea,94.48,76291.13
10012,Manhattan,Greenwich Village/SoHo,51.83,72416.2
10013,Manhattan,Hudson Square/Little Italy/SoHo/TriBeCa,76.34,52176.55
10014,Manhattan,Hudson Square/Meatpacking District/West Village,89,55916.45
10016,Manhattan,Kips Bay/Murray Hill/NoMad,96.24,95951.78
10017,Manhattan,East Midtown/Murray Hill,89.67,49849.83
10018,Manhattan,Hell's Kitchen/Midtown Manhattan,59.37,30001.95
10019,Manhattan,Hell's Kitchen/Midtown Manhattan,114.88,63563.56
10021,Manhattan,Lenox Hill/Upper East Side,159.13,121297.62
10022,Manhattan,East Midtown,122.99,72810.42
10023,Manhattan,Lincoln Square,92.26,127433.45
10024,Manhattan,Upper West Side,135.25,68752.35
10025,Manhattan,Manhattan Valley/Morningside Heights/Upper West Side,215.02,123470.67
10026,Manhattan,Central Harlem (South),150.01,118443.74
10027,Manhattan,Central Harlem (South)/Morningside Heights/West Harlem,200.33,74280.19
10028,Manhattan,Upper East Side/Yorkville,78.11,152562.17
10029,Manhattan,East Harlem,304.25,98058.83
10030,Manhattan,Central Harlem (North),215.24,107115.08
10031,Manhattan,Hamilton Heights/West Harlem,249.05,92806.12
10032,Manhattan,Washington Heights (South),302.93,98152.84
10033,Manhattan,Washington Heights (North)/Washington Heights (South),223.86,99980.21
10034,Manhattan,Inwood/Washington Heights (North),177.55,39355.24
10035,Manhattan,East Harlem,405.79,25093.67
10036,Manhattan,Hell's Kitchen/Midtown Manhattan,165.19,62428.59
10037,Manhattan,Central Harlem (North)/East Harlem,365.5,82131.8
10038,Manhattan,Chinatown/Financial District,139.95,76073.28
10039,Manhattan,Central Harlem (North)/Washington Heights (South),264.89,63397.48
10040,Manhattan,Washington Heights (North),304.78,116782.26
10044,Manhattan,Roosevelt Island,317,50775.19
10065,Manhattan,Lenox Hill/Upper East Side,114.7,73936.22
10069,Manhattan,Lincoln Square,47.74,52882.82
10075,Manhattan,Lenox Hill/Upper East Side,212.63,117012.27
10128,Manhattan,Upper East Side/Yorkville,81.97,127236.89
10280,Manhattan,Battery Park City,10.7,80839.41
10282,Manhattan,Battery Park City,251.26,80750.18
10301,Staten Island,Silver Lake/St. George,313.58,10734.48
10302,Staten Island,Elm Park,227.21,15312.21
10303,Staten Island,Graniteville/Mariner's Harbor/Port Ivory,226.31,8253.8
10304,Staten Island,New Dorp/Todt Hill,518.06,10603.05
10305,Staten Island,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,233.34,10266.42
10306,Staten Island,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,318.14,7108.2
10307,Staten Island,Tottenville,134.12,7758.09
10308,Staten Island,Great Kills,154.26,15333.1
10309,Staten Island,Charleston/Prince's Bay/Woodrow,133.58,4992.73
10310,Staten Island,Port Richmond/Randall Manor/West Brighton,187.7,12956.21
10312,Staten Island,Annadale/Rossville,137.59,8037.66
10314,Staten Island,Bloomfield/Freshkills Park,293.98,6624.92
10451,Bronx,Concourse/Melrose,325.12,46431.61
10452,Bronx,Concourse/Highbridge,255.28,76975.77
10453,Bronx,Morris Heights/Mount Hope/University Heights,235.14,86902.89
10454,Bronx,Mott Haven/Port Morris,330.43,36486.14
10455,Bronx,Mott Haven,284.05,59241.79
10456,Bronx,Claremont/Morrisania,321.91,92584.99
10457,Bronx,Belmont/Claremont/Mount Hope/Tremont,272.65,70392.07
10458,Bronx,Belmont/Fordham University/Kingsbridge,177.66,83517.61
10459,Bronx,Charlotte Gardens/Hunts Point,367.64,58950.26
10460,Bronx,Charlotte Gardens/Tremont/Van Nest/West Farms,247.98,45341.18
10461,Bronx,Morris Park/Pelham Bay/Westchester Square,305.51,21036.19
10462,Bronx,Parkchester/Pelham Parkway/Van Nest/Westchester Square,268.2,52026.86
10463,Bronx,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,350.08,49217.46
10464,Bronx,City Island,256.69,1277.5
10465,Bronx,Country Club/Throgs Neck,243.49,12908.49
10466,Bronx,Edenwald/Wakefield,256.63,36016.41
10467,Bronx,Allerton/Norwood/Pelham Parkway/Williamsbridge,348.82,44386.63
10468,Bronx,Fordham/Kingsbridge/University Heights,311.01,73450.73
10469,Bronx,Allerton/Baychester/Pelham Gardens/Williamsbridge,534.31,29870.54
10470,Bronx,Wakefield/Woodlawn,180.1,10792.37
10471,Bronx,Fieldston/North Riverdale/Riverdale,466.08,8519.75
10472,Bronx,Soundview,322.16,65283.49
10473,Bronx,Castle Hill/Clason Point/Soundview,289.29,27853.2
10474,Bronx,Hunts Point,192.06,7928.81
10475,Bronx,Co-op City/Edenwald,453.94,24966.92
11004,Queens,Bellerose/Douglaston-Little Neck,390.51,16042.7
11101,Queens,Astoria (South)/Long Island City/Sunnyside,127.59,11539.23
11102,Queens,Astoria (North),339.49,39056.51
11103,Queens,Astoria (North)/Astoria (South),206.08,50793.81
11104,Queens,Sunnyside,192.63,67304
11105,Queens,Ditmars Steinway,154.74,22221.84
11106,Queens,Astoria (South),179.01,44876.46
11109,Queens,Long Island City,34.71,120148.65
11201,Brooklyn,Brooklyn Heights/DUMBO/Downtown Brooklyn,162.13,44662.67
11203,Brooklyn,East Flatbush (North)/East Flatbush (South),351.91,35174.78
11204,Brooklyn,Bensonhurst/Mapleton,224.42,48445.92
11205,Brooklyn,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,132.36,48733.16
11206,Brooklyn,Williamsburg (South),201.82,61590.68
11207,Brooklyn,Cypress Hills/East New York,279.68,34391.57
11208,Brooklyn,Cypress Hills/East New York,298.23,27578.2
11209,Brooklyn,Bay Ridge/Fort Hamilton,199.96,31992.47
11210,Brooklyn,Flatlands/Midwood,264.89,40836.54
