Zipcode,Borough,Neighborhood,Deaths Per Capita,Median Age
10001,Manhattan,Chelsea/NoMad/West Chelsea,94.16,37
10002,Manhattan,Chinatown/Lower East Side,252.25,44
10003,Manhattan,East Village/Gramercy/Greenwich Village,68.55,32
10004,Manhattan,Financial District,67.29,37
10005,Manhattan,Financial District,0,30
10006,Manhattan,Financial District,29.57,32
10007,Manhattan,TriBeCa,57.21,36
10009,Manhattan,Alphabet City/East Village/Stuyvesant Town-Cooper Village,143.48,37
10010,Manhattan,Flatiron/Gramercy/Kips Bay,83.95,35
10011,Manhattan,Chelsea,94.48,41
10012,Manhattan,Greenwich Village/SoHo,51.83,34
10013,Manhattan,Hudson Square/Little Italy/SoHo/TriBeCa,76.34,38
10014,Manhattan,Hudson Square/Meatpacking District/West Village,89,38
10016,Manhattan,Kips Bay/Murray Hill/NoMad,96.24,34
10017,Manhattan,East Midtown/Murray Hill,89.67,40
10018,Manhattan,Hell's Kitchen/Midtown Manhattan,59.37,33
10019,Manhattan,Hell's Kitchen/Midtown Manhattan,114.88,40
10021,Manhattan,Lenox Hill/Upper East Side,159.13,41
10022,Manhattan,East Midtown,122.99,48
10023,Manhattan,Lincoln Square,92.26,43
10024,Manhattan,Upper West Side,135.25,43
10025,Manhattan,Manhattan Valley/Morningside Heights/Upper West Side,215.02,41
10026,Manhattan,Central Harlem (South),150.01,35
10027,Manhattan,Central Harlem (South)/Morningside Heights/West Harlem,200.33,31
10028,Manhattan,Upper East Side/Yorkville,78.11,39
10029,Manhattan,East Harlem,304.25,35
10030,Manhattan,Central Harlem (North),215.24,36
10031,Manhattan,Hamilton Heights/West Harlem,249.05,34
10032,Manhattan,Washington Heights (South),302.93,35
10033,Manhattan,Washington Heights (North)/Washington Heights (South),223.86,36
10034,Manhattan,Inwood/Washington Heights (North),177.55,36
10035,Manhattan,East Harlem,405.79,36
10036,Manhattan,Hell's Kitchen/Midtown Manhattan,165.19,37
10037,Manhattan,Central Harlem (North)/East Harlem,365.5,35
10038,Manhattan,Chinatown/Financial District,139.95,36
10039,Manhattan,Central Harlem (North)/Washington Heights (South),264.89,34
10040,Manhattan,Washington Heights (North),304.78,37
10044,Manhattan,Roosevelt Island,317,42
10065,Manhattan,Lenox Hill/Upper East Side,114.7,40
10069,Manhattan,Lincoln Square,47.74,36
10075,Manhattan,Lenox Hill/Upper East Side,212.63,45
10128,Manhattan,Upper East Side/Yorkville,81.97,40
10280,Manhattan,Battery Park City,10.7,38
10282,Manhattan,Battery Park City,251.26,35
10301,Staten Island,Silver Lake/St. George,313.58,38
10302,Staten Island,Elm Park,227.21,35
10303,Staten Island,Graniteville/Mariner's Harbor/Port Ivory,226.31,33
10304,Staten Island,New Dorp/Todt Hill,518.06,38
10305,Staten Island,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,233.34,40
10306,Staten Island,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,318.14,44
10307,Staten Island,Tottenville,134.12,40
10308,Staten Island,Great Kills,154.26,43
10309,Staten Island,Charleston/Prince's Bay/Woodrow,133.58,41
10310,Staten Island,Port Richmond/Randall Manor/West Brighton,187.7,39
10312,Staten Island,Annadale/Rossville,137.59,42
10314,Staten Island,Bloomfield/Freshkills Park,293.98,41
10451,Bronx,Concourse/Melrose,325.12,34
10452,Bronx,Concourse/Highbridge,255.28,32
10453,Bronx,Morris Heights/Mount Hope/University Heights,235.14,30
10454,Bronx,Mott Haven/Port Morris,330.43,30
10455,Bronx,Mott Haven,284.05,31
10456,Bronx,Claremont/Morrisania,321.91,31
10457,Bronx,Belmont/Claremont/Mount Hope/Tremont,272.65,30
10458,Bronx,Belmont/Fordham University/Kingsbridge,177.66,29
10459,Bronx,Charlotte Gardens/Hunts Point,367.64,31
