Zipcode,Borough,Neighborhood,Deaths Per Capita,Household Size
10001,Manhattan,Chelsea/NoMad/West Chelsea,94.16,1.76
10002,Manhattan,Chinatown/Lower East Side,252.25,2.18
10003,Manhattan,East Village/Gramercy/Greenwich Village,68.55,1.7
10004,Manhattan,Financial District,67.29,1.82
10005,Manhattan,Financial District,0,2.02
10006,Manhattan,Financial District,29.57,1.93
10007,Manhattan,TriBeCa,57.21,2.25
10009,Manhattan,Alphabet City/East Village/Stuyvesant Town-Cooper Village,143.48,1.93
10010,Manhattan,Flatiron/Gramercy/Kips Bay,83.95,1.85
10011,Manhattan,Chelsea,94.48,1.68
10012,Manhattan,Greenwich Village/SoHo,51.83,1.83
10013,Manhattan,Hudson Square/Little Italy/SoHo/TriBeCa,76.34,2.23
10014,Manhattan,Hudson Square/Meatpacking District/West Village,89,1.66
10016,Manhattan,Kips Bay/Murray Hill/NoMad,96.24,1.71
10017,Manhattan,East Midtown/Murray Hill,89.67,1.57
10018,Manhattan,Hell's Kitchen/Midtown Manhattan,59.37,1.88
10019,Manhattan,Hell's Kitchen/Midtown Manhattan,114.88,1.7
10021,Manhattan,Lenox Hill/Upper East Side,159.13,1.83
10022,Manhattan,East Midtown,122.99,1.69
10023,Manhattan,Lincoln Square,92.26,1.8
10024,Manhattan,Upper West Side,135.25,2.02
10025,Manhattan,Manhattan Valley/Morningside Heights/Upper West Side,215.02,2.09
10026,Manhattan,Central Harlem (South),150.01,2.48
10027,Manhattan,Central Harlem (South)/Morningside Heights/West Harlem,200.33,2.4
10028,Manhattan,Upper East Side/Yorkville,78.11,1.88
10029,Manhattan,East Harlem,304.25,2.4
10030,Manhattan,Central Harlem (North),215.24,2.3
10031,Manhattan,Hamilton Heights/West Harlem,249.05,2.72
10032,Manhattan,Washington Heights (South),302.93,2.98
10033,Manhattan,Washington Heights (North)/Washington Heights (South),223.86,2.99
10034,Manhattan,Inwood/Washington Heights (North),177.55,2.66
10035,Manhattan,East Harlem,405.79,2.27
10036,Manhattan,Hell's Kitchen/Midtown Manhattan,165.19,1.66
10037,Manhattan,Central Harlem (North)/East Harlem,365.5,2.14
10038,Manhattan,Chinatown/Financial District,139.95,2.11
10039,Manhattan,Central Harlem (North)/Washington Heights (South),264.89,2.44
10040,Manhattan,Washington Heights (North),304.78,2.66
10044,Manhattan,Roosevelt Island,317,2.13
10065,Manhattan,Lenox Hill/Upper East Side,114.7,1.87
10069,Manhattan,Lincoln Square,47.74,1.99
10075,Manhattan,Lenox Hill/Upper East Side,212.63,1.9
10128,Manhattan,Upper East Side/Yorkville,81.97,1.92
10280,Manhattan,Battery Park City,10.7,2.06
10282,Manhattan,Battery Park City,251.26,2.51
10301,Staten Island,Silver Lake/St. George,313.58,2.52
10302,Staten Island,Elm Park,227.21,2.94
