,Unnamed: 0,trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
0,0,d,0,2.748999834,1,0,100,88,1,99,i40_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
1,1,d,0,2.835000038,1,0,100,98,1,99,i47_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
2,2,d,1,3.720999956,1,0,100,39,1,99,i18_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
3,3,d,1,3.268999815,1,0,100,12,1,99,i6_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
4,4,d,1,4.566999912,1,0,100,52,1,99,i24_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
5,5,s,1,3.019000053,1,0,100,74,1,99,i34_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
6,6,d,1,2.472000122,1,0,100,95,1,99,i44_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
7,7,d,1,2.536999941,1,0,100,33,1,99,i15_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
8,8,s,1,3.019000053,1,0,100,24,1,99,i11_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
9,9,d,1,2.552000046,1,0,100,3,1,99,i2_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
10,10,s,1,3.203000069,1,0,100,99,1,99,i48_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
11,11,d,0,2.569000006,1,0,100,81,1,99,i37_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
12,12,d,0,2.002000093,1,0,100,54,1,99,i25_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
13,13,s,1,2.16899991,1,0,100,15,1,99,i7_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
14,14,s,1,2.56799984,1,0,100,49,1,99,i23_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
15,15,d,1,1.819000006,1,0,100,44,1,99,i20_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
