,Unnamed: 0,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp,sdt-amk1048
0,0.0,1.0,60.0,0.0,left,jl13312,1.0,114562.711,1.0,
1,1.0,1.0,10.0,1.0,left,jl13312,1.0,1327.995,1.0,
2,2.0,1.0,10.0,2.0,left,jl13312,1.0,808.116,1.0,
3,3.0,1.0,15.0,3.0,left,jl13312,1.0,821.9340000000001,1.0,
4,4.0,0.0,0.0,4.0,left,jl13312,1.0,762.16,0.0,
5,5.0,1.0,60.0,5.0,left,jl13312,1.0,654.555,1.0,
6,6.0,0.0,0.0,6.0,left,jl13312,1.0,597.563,0.0,
7,7.0,1.0,60.0,7.0,left,jl13312,1.0,138748.306,1.0,
8,8.0,1.0,25.0,8.0,left,jl13312,1.0,950.837,1.0,
9,9.0,1.0,15.0,9.0,left,jl13312,1.0,1260.65,1.0,
10,10.0,0.0,0.0,10.0,left,jl13312,1.0,806.851,0.0,
11,11.0,0.0,0.0,11.0,left,jl13312,1.0,927.704,0.0,
12,12.0,0.0,0.0,12.0,left,jl13312,1.0,677.765,0.0,
13,13.0,0.0,0.0,13.0,left,jl13312,1.0,598.913,0.0,
14,14.0,1.0,15.0,14.0,left,jl13312,1.0,652.314,1.0,
15,15.0,1.0,10.0,15.0,left,jl13312,1.0,632.331,1.0,
16,16.0,0.0,0.0,16.0,left,jl13312,1.0,787.846,0.0,
17,17.0,0.0,0.0,17.0,left,jl13312,1.0,666.34,0.0,
18,18.0,0.0,0.0,18.0,left,jl13312,1.0,614.11,0.0,
19,19.0,0.0,0.0,19.0,left,jl13312,1.0,814.705,0.0,
20,20.0,1.0,25.0,20.0,left,jl13312,1.0,882.124,1.0,
21,21.0,0.0,0.0,21.0,left,jl13312,1.0,695.704,0.0,
22,22.0,0.0,0.0,22.0,left,jl13312,1.0,699.6329999999999,0.0,
23,23.0,1.0,60.0,23.0,left,jl13312,1.0,810.1080000000001,1.0,
24,24.0,1.0,60.0,24.0,left,jl13312,1.0,742.933,1.0,
25,25.0,0.0,0.0,25.0,left,jl13312,1.0,777.335,0.0,
26,26.0,1.0,60.0,26.0,left,jl13312,1.0,770.7230000000001,1.0,
27,27.0,1.0,10.0,27.0,left,jl13312,1.0,628.207,1.0,
28,28.0,1.0,60.0,28.0,left,jl13312,1.0,1652.462,1.0,
29,29.0,0.0,0.0,29.0,left,jl13312,1.0,1246.395,0.0,
30,30.0,1.0,15.0,30.0,left,jl13312,1.0,681.26,1.0,
31,31.0,1.0,25.0,31.0,left,jl13312,1.0,613.733,1.0,
32,32.0,0.0,0.0,32.0,left,jl13312,1.0,577.883,0.0,
33,33.0,0.0,0.0,33.0,left,jl13312,1.0,572.9250000000001,0.0,
34,34.0,0.0,0.0,34.0,left,jl13312,1.0,721.125,0.0,
35,35.0,1.0,60.0,35.0,left,jl13312,1.0,696.217,1.0,
36,36.0,1.0,25.0,36.0,left,jl13312,1.0,561.7220000000001,1.0,
37,37.0,1.0,25.0,37.0,left,jl13312,1.0,552.526,1.0,
38,38.0,0.0,0.0,38.0,left,jl13312,1.0,616.398,0.0,
39,39.0,1.0,10.0,39.0,left,jl13312,1.0,600.5169999999999,1.0,
40,40.0,0.0,0.0,40.0,left,jl13312,1.0,511.261,0.0,
41,41.0,1.0,25.0,41.0,left,jl13312,1.0,495.682,1.0,
42,42.0,1.0,25.0,42.0,left,jl13312,1.0,545.144,1.0,
43,43.0,1.0,60.0,43.0,left,jl13312,1.0,543.278,1.0,
44,44.0,1.0,10.0,44.0,left,jl13312,1.0,513.946,1.0,
45,45.0,1.0,25.0,45.0,left,jl13312,1.0,1584.87,1.0,
46,46.0,1.0,25.0,46.0,left,jl13312,1.0,1577.315,1.0,
47,47.0,0.0,0.0,47.0,left,jl13312,1.0,546.841,0.0,
48,48.0,0.0,0.0,48.0,left,jl13312,1.0,616.382,0.0,
49,49.0,0.0,0.0,49.0,left,jl13312,1.0,378.61,0.0,
50,50.0,1.0,10.0,50.0,left,jl13312,1.0,539.8389999999999,1.0,
51,51.0,1.0,25.0,51.0,left,jl13312,1.0,445.538,1.0,
52,52.0,0.0,0.0,52.0,left,jl13312,1.0,470.022,0.0,
53,53.0,0.0,0.0,53.0,left,jl13312,1.0,404.275,0.0,
54,54.0,1.0,25.0,54.0,left,jl13312,1.0,367.637,1.0,
55,55.0,0.0,0.0,55.0,left,jl13312,1.0,324.60299999999995,0.0,
56,56.0,0.0,0.0,56.0,left,jl13312,1.0,259.02,0.0,
57,57.0,0.0,0.0,57.0,left,jl13312,1.0,239.999,0.0,
58,58.0,0.0,0.0,58.0,left,jl13312,1.0,335.055,0.0,
59,59.0,1.0,25.0,59.0,left,jl13312,1.0,303.50100000000003,1.0,
60,60.0,1.0,10.0,60.0,left,jl13312,1.0,327.742,1.0,
61,61.0,1.0,15.0,61.0,left,jl13312,1.0,355.916,1.0,
62,62.0,1.0,15.0,62.0,left,jl13312,1.0,282.501,1.0,
63,63.0,1.0,15.0,63.0,left,jl13312,1.0,297.414,1.0,
64,64.0,0.0,0.0,64.0,left,jl13312,1.0,274.584,0.0,
65,65.0,1.0,10.0,65.0,left,jl13312,1.0,415.171,1.0,
66,66.0,0.0,0.0,66.0,left,jl13312,1.0,303.06,0.0,
67,67.0,0.0,0.0,67.0,left,jl13312,1.0,351.286,0.0,
68,68.0,1.0,60.0,68.0,left,jl13312,1.0,316.642,1.0,
69,69.0,0.0,0.0,69.0,left,jl13312,1.0,315.757,0.0,
70,70.0,1.0,60.0,70.0,left,jl13312,1.0,281.618,1.0,
