,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,25,0,right,XXX,0,2744.161,0
1,1,15,1,right,XXX,0,1254.461,0
2,1,75,2,right,XXX,1,1194.599,1
3,0,0,3,right,XXX,0,1176.7920000000001,1
4,0,0,4,right,XXX,0,825.2810000000001,1
5,0,0,5,right,XXX,0,693.4090000000001,1
6,1,15,6,right,XXX,0,718.69,0
7,0,0,7,right,XXX,0,704.5219999999999,1
8,1,10,8,right,XXX,0,1515.542,0
9,1,10,9,right,XXX,0,893.5809999999999,0
10,0,0,10,right,XXX,0,1530.533,1
11,1,10,11,right,XXX,0,1022.8170000000001,0
12,0,0,12,right,XXX,0,2102.47,1
13,0,0,13,right,XXX,0,1097.624,1
14,1,50,14,right,XXX,1,1376.69,1
15,1,15,15,right,XXX,0,1533.232,0
16,0,0,16,right,XXX,0,926.6569999999999,1
17,1,75,17,right,XXX,1,1145.052,1
18,0,0,18,right,XXX,0,3406.686,1
19,1,15,19,right,XXX,0,816.034,0
20,1,75,20,right,XXX,1,1297.637,1
21,1,25,21,right,XXX,1,1601.9460000000001,1
22,0,0,22,right,XXX,1,1991.442,0
23,0,0,23,right,XXX,1,1515.474,0
24,1,25,24,right,XXX,1,1141.4789999999998,1
25,0,0,25,right,XXX,1,1097.423,0
26,1,25,26,right,XXX,1,1275.648,1
27,0,0,27,right,XXX,0,1792.256,1
28,0,0,28,right,XXX,0,1188.993,1
29,1,75,29,right,XXX,1,1123.3310000000001,1
30,1,50,30,right,XXX,1,1339.5140000000001,1
31,0,0,31,right,XXX,0,1402.155,1
32,0,0,32,right,XXX,0,903.887,1
33,0,0,33,right,XXX,0,957.471,1
34,1,50,34,right,XXX,1,1300.623,1
35,0,0,35,right,XXX,0,1959.447,1
36,1,10,36,right,XXX,0,1484.046,0
37,0,0,37,right,XXX,0,1298.586,1
38,0,0,38,right,XXX,0,920.704,1
39,1,50,39,right,XXX,1,1510.646,1
