,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp
0,1,60,0,left,std_0,1,22735.685,1
1,1,10,1,left,std_0,0,3253.291,0
2,1,10,2,left,std_0,0,3501.9570000000003,0
3,1,15,3,left,std_0,0,1345.2710000000004,0
4,0,0,4,left,std_0,0,1464.6999999999996,1
5,1,60,5,left,std_0,1,1597.7820000000002,1
6,0,0,6,left,std_0,0,1195.8359999999998,1
7,1,60,7,left,std_0,1,1789.385,1
8,1,25,8,left,std_0,1,1524.671,1
9,1,15,9,left,std_0,0,2630.79,0
10,0,0,10,left,std_0,0,1655.8870000000004,1
11,0,0,11,left,std_0,0,1312.902,1
12,0,0,12,left,std_0,0,992.637,1
13,0,0,13,left,std_0,0,1182.201,1
14,1,15,14,left,std_0,0,947.802,0
15,1,10,15,left,std_0,0,1074.286,0
16,0,0,16,left,std_0,0,1347.929,1
17,0,0,17,left,std_0,0,964.175,1
18,0,0,18,left,std_0,0,1010.659,1
19,0,0,19,left,std_0,0,3883.597,1
20,1,25,20,left,std_0,1,2400.401,1
21,0,0,21,left,std_0,0,2275.8979999999997,1
22,0,0,22,left,std_0,0,1101.84,1
23,1,60,23,left,std_0,1,1514.8429999999996,1
24,1,60,24,left,std_0,1,1121.6,1
25,0,0,25,left,std_0,0,1428.229,1
26,1,60,26,left,std_0,1,1314.639,1
27,1,10,27,left,std_0,0,1602.5420000000001,0
28,1,60,28,left,std_0,1,1347.517,1
29,0,0,29,left,std_0,0,1003.63,1
30,1,15,30,left,std_0,0,757.35,0
31,1,25,31,left,std_0,1,1496.5739999999998,1
32,0,0,32,left,std_0,0,1216.0510000000002,1
33,0,0,33,left,std_0,0,1076.254,1
34,0,0,34,left,std_0,0,934.445,1
35,1,60,35,left,std_0,1,2089.902,1
36,1,25,36,left,std_0,1,1201.399,1
37,1,25,37,left,std_0,1,1509.655,1
38,0,0,38,left,std_0,0,1457.477,1
39,1,10,39,left,std_0,0,1266.661,0
40,0,0,40,left,std_0,0,965.636,1
41,1,25,41,left,std_0,0,827.283,0
42,1,25,42,left,std_0,1,2261.7529999999997,1
43,1,60,43,left,std_0,1,1655.027,1
44,1,10,44,left,std_0,0,1868.62,0
45,1,25,45,left,std_0,1,1220.722,1
46,1,25,46,left,std_0,1,1314.989,1
47,0,0,47,left,std_0,0,1263.272,1
48,0,0,48,left,std_0,0,611.701,1
49,0,0,49,left,std_0,0,572.4390000000002,1
50,1,10,50,left,std_0,0,532.7040000000001,0
51,1,25,51,left,std_0,0,555.5419999999999,0
52,0,0,52,left,std_0,0,641.5229999999998,1
53,0,0,53,left,std_0,0,647.831,1
54,1,25,54,left,std_0,0,660.297,0
55,0,0,55,left,std_0,0,1203.001,1
56,0,0,56,left,std_0,0,771.4440000000002,1
57,0,0,57,left,std_0,0,859.189,1
58,0,0,58,left,std_0,0,1042.435,1
59,1,25,59,left,std_0,0,1374.139,0
60,1,10,60,left,std_0,0,1134.8980000000001,0
61,1,15,61,left,std_0,0,891.6060000000001,0
62,1,15,62,left,std_0,0,688.1360000000001,0
63,1,15,63,left,std_0,0,627.9490000000001,0
64,0,0,64,left,std_0,0,850.8380000000001,1
65,1,10,65,left,std_0,0,656.135,0
66,0,0,66,left,std_0,0,705.1560000000001,1
67,0,0,67,left,std_0,0,848.1959999999998,1
68,1,60,68,left,std_0,1,1588.307,1
69,0,0,69,left,std_0,0,695.1429999999998,1
70,1,60,70,left,std_0,0,749.8539999999999,0
71,0,0,71,left,std_0,0,708.7719999999998,1
72,0,0,72,left,std_0,0,790.1030000000001,1
73,0,0,73,left,std_0,0,823.8,1
74,1,10,74,left,std_0,0,822.768,0
75,1,15,75,left,std_0,0,1000.523,0
76,1,10,76,left,std_0,0,830.545,0
77,0,0,77,left,std_0,0,678.393,1
78,0,0,78,left,std_0,0,675.238,1
79,1,25,79,left,std_0,0,620.318,0
80,0,0,80,left,std_0,0,1162.4360000000001,1
81,1,60,81,left,std_0,1,1413.77,1
82,0,0,82,left,std_0,0,586.835,1
83,0,0,83,left,std_0,0,608.6279999999998,1
84,0,0,84,left,std_0,0,310.085,1
85,0,0,85,left,std_0,0,587.819,1
86,1,15,86,left,std_0,0,1257.669,0
87,1,25,87,left,std_0,0,1138.799,0
88,1,10,88,left,std_0,0,155039.326,0
89,1,60,89,left,std_0,1,1344.06,1
90,0,0,90,left,std_0,0,2030.474,1
91,0,0,91,left,std_0,0,1078.009,1
92,0,0,92,left,std_0,0,960.787,1
93,1,25,93,left,std_0,1,2416.025,1
94,1,60,94,left,std_0,1,1841.406,1
95,1,10,95,left,std_0,0,1210.811,0
96,0,0,96,left,std_0,0,1308.68,1
97,0,0,97,left,std_0,0,1729.443,1
98,0,0,98,left,std_0,0,1275.356,1
99,0,0,99,left,std_0,0,1081.092,1
100,0,0,100,left,std_0,0,1304.892,1
101,0,0,101,left,std_0,0,1157.6860000000001,1
102,1,25,102,left,std_0,0,756.393,0
103,0,0,103,left,std_0,0,17.738,1
104,1,10,104,left,std_0,0,1060.193,0
105,1,15,105,left,std_0,0,879.3960000000001,0
106,1,15,106,left,std_0,0,1059.733,0
107,0,0,107,left,std_0,0,1036.665,1
108,1,15,108,left,std_0,0,1067.809,0
109,0,0,109,left,std_0,0,799.4860000000001,1
110,0,0,110,left,std_0,0,981.362,1
111,1,10,111,left,std_0,0,869.1959999999998,0
112,0,0,112,left,std_0,0,718.7239999999999,1
113,0,0,113,left,std_0,0,544.543,1
114,0,0,114,left,std_0,0,470.333,1
115,0,0,115,left,std_0,0,626.345,1
116,0,0,116,left,std_0,0,763.048,1
117,1,25,117,left,std_0,0,587.3000000000002,0
118,0,0,118,left,std_0,0,811.2310000000001,1
119,1,60,119,left,std_0,1,1289.026,1
120,0,0,120,left,std_0,0,975.078,1
121,0,0,121,left,std_0,0,742.913,1
122,1,25,122,left,std_0,0,704.043,0
123,0,0,123,left,std_0,0,731.73,1
124,1,60,124,left,std_0,0,377.978,0
125,0,0,125,left,std_0,0,789.931,1
126,1,10,126,left,std_0,0,905.3739999999999,0
127,1,15,127,left,std_0,0,719.821,0
128,0,0,128,left,std_0,0,668.6060000000001,1
129,0,0,129,left,std_0,0,697.9110000000001,1
130,0,0,130,left,std_0,0,690.696,1
131,1,25,131,left,std_0,0,633.7159999999999,0
132,1,60,132,left,std_0,1,3214.094,1
133,1,25,133,left,std_0,1,1528.734,1
134,0,0,134,left,std_0,0,1271.4089999999999,1
135,1,60,135,left,std_0,1,1462.961,1
136,0,0,136,left,std_0,0,708.6489999999999,1
137,1,10,137,left,std_0,0,606.5070000000002,0
138,0,0,138,left,std_0,0,519.216,1
139,1,15,139,left,std_0,0,663.547,0
140,0,0,140,left,std_0,0,388.195,1
141,0,0,141,left,std_0,0,467.69800000000004,1
142,0,0,142,left,std_0,0,328.019,1
143,0,0,143,left,std_0,0,423.725,1
144,0,0,144,left,std_0,0,350.23400000000004,1
145,0,0,145,left,std_0,0,541.03,1
146,0,0,146,left,std_0,0,176.37400000000002,1
147,0,0,147,left,std_0,0,119.618,1
148,1,10,148,left,std_0,0,268.356,0
149,1,15,149,left,std_0,0,566.8009999999999,0
150,1,25,150,left,std_0,0,911.143,0
151,1,10,151,left,std_0,0,6.593,0
152,1,60,152,left,std_0,0,623.6030000000002,0
153,1,10,153,left,std_0,0,981.439,0
154,1,15,154,left,std_0,0,1140.093,0
155,0,0,155,left,std_0,0,1319.961,1
156,0,0,156,left,std_0,0,1534.766,1
157,0,0,157,left,std_0,0,682.012,1
158,0,0,158,left,std_0,0,752.092,1
159,1,25,159,left,std_0,1,1343.764,1
160,1,15,160,left,std_0,0,942.146,0
161,0,0,161,left,std_0,0,920.498,1
162,1,60,162,left,std_0,1,1264.061,1
163,0,0,163,left,std_0,0,850.798,1
164,1,60,164,left,std_0,1,1812.276,1
165,0,0,165,left,std_0,0,1454.3139999999999,1
166,1,10,166,left,std_0,0,996.502,0
167,0,0,167,left,std_0,0,757.633,1
168,0,0,168,left,std_0,0,1073.607,1
169,1,15,169,left,std_0,0,2279.701,0
170,0,0,170,left,std_0,0,945.741,1
171,0,0,171,left,std_0,0,1305.7430000000004,1
172,0,0,172,left,std_0,0,1094.774,1
173,0,0,173,left,std_0,0,1095.597,1
174,1,60,174,left,std_0,1,1314.882,1
175,0,0,175,left,std_0,0,751.185,1
176,0,0,176,left,std_0,0,752.154,1
177,1,15,177,left,std_0,0,628.951,0
178,0,0,178,left,std_0,0,668.7760000000002,1
179,1,25,179,left,std_0,0,653.181,0
180,1,25,180,left,std_0,1,1473.036,1
181,1,15,181,left,std_0,0,1620.695,0
182,1,10,182,left,std_0,0,1203.396,0
183,0,0,183,left,std_0,0,586.679,1
184,0,0,184,left,std_0,0,564.346,1
185,1,15,185,left,std_0,0,624.239,0
186,1,10,186,left,std_0,0,675.4910000000001,0
187,1,60,187,left,std_0,0,344.371,0
188,1,15,188,left,std_0,0,915.918,0
189,0,0,189,left,std_0,0,1324.055,1
190,0,0,190,left,std_0,0,696.3249999999998,1
191,1,10,191,left,std_0,0,784.79,0
192,1,10,192,left,std_0,0,1634.2720000000002,0
193,1,15,193,left,std_0,0,825.177,0
194,1,60,194,left,std_0,0,608.8380000000001,0
195,1,15,195,left,std_0,0,1212.713,0
196,0,0,196,left,std_0,0,662.8309999999999,1
197,1,60,197,left,std_0,1,1637.921,1
198,1,15,198,left,std_0,0,846.1339999999999,0
199,1,25,199,left,std_0,1,1405.2279999999996,1
