trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,x_pos,y_pos,stim_file,corr_ans,participant,session,date,expName,psychopyVersion,OS,frameRate
up,1,4.392999887,1,0,200,89,1,199,-0.130881679,0.108489567,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,1.733999968,1,0,200,94,1,199,-0.091330074,-0.143383463,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.421999931,1,0,200,36,1,199,0.145656764,-0.087659038,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,21.06399989,1,0,200,146,1,199,-0.159705946,0.058258138,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,20.9749999,1,0,200,26,1,199,0.070461534,-0.154709961,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,6.471999884,1,0,200,22,1,199,0.04141387,0.164878414,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,15.11400008,1,0,200,121,1,199,0.153979785,-0.072043223,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,20.08200002,1,0,200,10,1,199,0.162362621,0.050382331,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,11.41600013,1,0,200,55,1,199,0.012274665,-0.169556281,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,20.66000009,1,0,200,88,1,199,0.04316054,0.164429826,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,15.24300003,1,0,200,184,1,199,-0.158657649,0.061055307,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,2.786000013,1,0,200,16,1,199,0.04858684,0.162908929,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,13.204,1,0,200,136,1,199,0.019209169,0.168911242,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,40.01100016,1,0,200,164,1,199,0.090200667,0.144096633,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,1.053999901,1,0,200,64,1,199,-0.169381629,-0.014486673,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.713000059,1,0,200,47,1,199,-0.169830247,-0.007595201,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,1.49000001,1,0,200,183,1,199,0.162745676,0.049130895,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,2.209000111,1,0,200,31,1,199,-0.134663574,0.103757997,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,2.550000191,1,0,200,57,1,199,0.131297832,-0.107985551,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,3.50999999,1,0,200,165,1,199,0.093285947,-0.142118725,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,3.542999983,1,0,200,12,1,199,0.16068794,-0.055492214,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,1.477999926,1,0,200,1,1,199,-0.163228157,0.047503357,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
