tgt_sec,SorN,tgt_opacity,response.keys,response.corr,response.rt
0.05,0,0.2,down,1,1.638787985
0.05,1,0.2,up,1,1.554019928
0.05,0,0.2,down,1,1.17031002
0.05,0,0.2,down,1,1.437731981
0.05,0,0.2,down,1,1.103798866
0.05,0,0.2,down,1,1.171406031
0.05,0,0.2,down,1,1.137461185
0.05,0,0.2,down,1,1.153306961
0.05,1,0.2,down,0,1.286885977
0.05,1,0.2,down,0,1.63688302
0.05,1,0.2,up,1,1.120404005
0.05,1,0.2,up,1,1.07023406
0.05,0,0.2,down,1,1.170383215
0.05,0,0.2,down,1,1.170306921
0.05,1,0.2,up,1,2.70588088
0.05,0,0.2,down,1,1.26947999
0.05,0,0.2,down,1,1.254287958
0.05,0,0.2,down,1,1.369184971
0.05,0,0.2,down,1,1.219355822
0.05,0,0.2,down,1,1.420959949
0.05,0,0.2,down,1,1.119897842
0.05,0,0.2,down,1,1.403271198
0.05,1,0.2,up,1,1.170418978
0.05,0,0.2,down,1,1.170286179
0.05,1,0.2,up,1,1.236449957
0.05,0,0.2,down,1,1.788222075
0.05,0,0.2,down,1,1.370537996
0.05,0,0.2,down,1,1.319724083
0.05,1,0.2,down,0,1.653963089
0.05,0,0.2,down,1,1.587897062
0.05,0,0.2,down,1,3.792452097
0.05,0,0.2,up,0,1.337294102
0.05,0,0.2,up,0,1.420964003
0.05,1,0.2,up,1,1.13633585
0.05,0,0.2,down,1,1.237617016
0.05,0,0.2,up,0,1.653959036
0.05,0,0.2,down,1,1.171180964
0.05,1,0.2,up,1,1.069650888
0.05,1,0.2,up,1,1.337257862
0.05,0,0.2,down,1,2.456845999
0.05,1,0.2,up,1,1.102646112
0.05,1,0.2,up,1,1.220788956
0.05,0,0.2,down,1,1.204143047
0.05,0,0.2,up,0,3.642773151
0.05,0,0.2,down,1,1.170763969
0.05,1,0.2,down,0,1.202939034
0.05,0,0.2,down,1,1.205416203
0.05,0,0.2,down,1,1.253377914
0.05,0,0.2,down,1,1.186377048
0.05,0,0.2,up,0,1.803484917
0.05,0,0.2,down,1,3.375716925
0.05,0,0.2,up,0,1.188275099
0.05,1,0.2,up,1,1.437711
0.05,0,0.2,down,1,3.509588957
0.05,1,0.2,down,0,1.689114094
0.05,0,0.2,down,1,1.204425097
0.05,0,0.2,down,1,1.503504038
0.05,0,0.2,down,1,1.253637075
0.05,1,0.2,up,1,1.171209812
0.05,0,0.2,down,1,1.454119921
0.05,0,0.2,up,0,1.57149291
0.05,0,0.2,down,1,1.219869137
0.05,0,0.2,down,1,1.235422134
0.05,1,0.2,up,1,1.204411983
0.05,0,0.2,down,1,1.120232105
0.05,0,0.2,down,1,1.220641851
0.05,1,0.2,down,0,1.287525892
0.05,0,0.2,down,1,1.219635963
0.05,1,0.2,down,0,1.153370142
0.05,0,0.2,down,1,1.254323959
0.05,0,0.2,down,1,1.252697945
0.05,1,0.2,up,1,1.15430212
0.05,0,0.2,down,1,1.772032976
0.05,0,0.2,down,1,1.520830154
0.05,0,0.2,down,1,1.268785954
0.05,0,0.2,down,1,1.50387001
0.05,1,0.2,up,1,1.403851986
0.05,0,0.2,down,1,2.138165951
0.05,1,0.2,up,1,1.103996038
0.05,0,0.2,down,1,1.186397076
0.05,0,0.2,up,0,1.519962072
0.05,0,0.2,down,1,1.821254015
0.05,1,0.2,up,1,1.687031984
0.05,0,0.2,down,1,1.705896854
0.05,1,0.2,up,1,1.655107975
0.05,0,0.2,down,1,1.186131954
0.05,1,0.2,up,1,1.12021184
0.05,0,0.2,down,1,1.553628922
0.05,0,0.2,down,1,2.356858969
0.05,0,0.2,up,0,2.38972497
0.05,1,0.2,down,0,1.219511032
0.05,0,0.2,up,0,1.938452959
0.05,0,0.2,down,1,1.154652119
0.05,0,0.2,down,1,1.588863134
0.05,0,0.2,down,1,1.521209002
0.05,0,0.2,up,0,1.371338844
0.05,0,0.2,down,1,1.503808022
0.05,0,0.2,down,1,2.088624954
0.05,1,0.2,down,0,3.106969118
0.05,1,0.2,down,0,1.469573021
