trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,12.204,1,0,100,2,1,99,i1_100.jpg,s,100,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
d,1,7.870999813,1,0,100,7,1,99,i4_50_R.jpg,d,50,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,7.706999779,1,0,100,74,1,99,i34_150.jpg,s,150,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,9.525000095,1,0,100,60,1,99,i28_50.jpg,s,50,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,10.19300008,1,0,100,6,1,99,i3_100.jpg,s,100,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,8.338999987,1,0,100,63,1,99,i29_50.jpg,s,50,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
d,1,5.789999962,1,0,100,55,1,99,i25_150_R.jpg,d,150,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,6.721000195,1,0,100,38,1,99,i18_50.jpg,s,50,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,5.905999899,1,0,100,84,1,99,i39_0.jpg,s,0,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
d,1,3.954999924,1,0,100,5,1,99,i3_50_R.jpg,d,50,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,5.138000011,1,0,100,34,1,99,i16_50.jpg,s,50,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,7.525000095,1,0,100,97,1,99,i46_100.jpg,s,100,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,10.50900006,1,0,100,17,1,99,i8_100.jpg,s,100,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,6.773999929,1,0,100,47,1,99,i22_50.jpg,s,50,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
d,1,5.472000122,1,0,100,19,1,99,i9_50_R.jpg,d,50,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,6.440999985,1,0,100,94,1,99,i44_0.jpg,s,0,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,13.56399989,1,0,100,99,1,99,i48_100.jpg,s,100,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
d,1,8.171999931,1,0,100,37,1,99,i17_150_R.jpg,d,150,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
d,1,11.94199991,1,0,100,76,1,99,i35_100_R.jpg,d,100,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,2.470999956,1,0,100,75,1,99,i35_0.jpg,s,0,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,10.37400007,1,0,100,54,1,99,i25_50.jpg,s,50,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,5.708999872,1,0,100,98,1,99,i47_100.jpg,s,100,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
d,1,7.523000002,1,0,100,67,1,99,i31_100_R.jpg,d,100,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,6.907000065,1,0,100,53,1,99,i25_0.jpg,s,0,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,3.854000092,1,0,100,20,1,99,i9_100.jpg,s,100,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,8.174000025,1,0,100,45,1,99,i21_50.jpg,s,50,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,10.77499986,1,0,100,58,1,99,i27_50.jpg,s,50,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
d,1,15.31100011,1,0,100,96,1,99,i45_100_R.jpg,d,100,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
s,1,8.523999929,1,0,100,79,1,99,i36_150.jpg,s,150,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
d,1,5.272000074,1,0,100,48,1,99,i22_150_R.jpg,d,150,JL29,001,2019-10-16_10h06.52.100,MentalRotationFinal,3.1.2,60
