trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,1.740999937,1,0,100,56,1,99,i26_50.jpg,s,50,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,1,1.600000143,1,0,100,76,1,99,i35_100_R.jpg,d,100,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,1.984000206,1,0,100,86,1,99,i39_150.jpg,s,150,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,0,1.48300004,1,0,100,17,1,99,i8_100.jpg,s,100,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,1,2.134000063,1,0,100,95,1,99,i44_100_R.jpg,d,100,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,1,2.218999863,1,0,100,12,1,99,i6_50_R.jpg,d,50,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,1.414999962,1,0,100,4,1,99,i2_100.jpg,s,100,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,0,3.483999968,1,0,100,90,1,99,i41_150.jpg,s,150,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,1,3.167000055,1,0,100,37,1,99,i17_150_R.jpg,d,150,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,1.884000063,1,0,100,84,1,99,i39_0.jpg,s,0,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,1.401000023,1,0,100,54,1,99,i25_50.jpg,s,50,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,1.51699996,1,0,100,41,1,99,i19_50.jpg,s,50,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,0,2.38499999,1,0,100,33,1,99,i15_150_R.jpg,d,150,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,2.552000046,1,0,100,45,1,99,i21_50.jpg,s,50,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,1.316999912,1,0,100,47,1,99,i22_50.jpg,s,50,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,1.900000095,1,0,100,97,1,99,i46_100.jpg,s,100,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,1.5,1,0,100,9,1,99,i5_0.jpg,s,0,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,1,2.131999969,1,0,100,42,1,99,i19_150_R.jpg,d,150,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,1,5.296999931,1,0,100,55,1,99,i25_150_R.jpg,d,150,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,1.051000118,1,0,100,53,1,99,i25_0.jpg,s,0,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,1,2.484999895,1,0,100,27,1,99,i13_50_R.jpg,d,50,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,0.933000088,1,0,100,62,1,99,i29_0.jpg,s,0,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,1,1.585999966,1,0,100,14,1,99,i7_50_R.jpg,d,50,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,3.401000023,1,0,100,36,1,99,i17_50.jpg,s,50,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,3.832999945,1,0,100,65,1,99,i30_50.jpg,s,50,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,1,1.837000132,1,0,100,57,1,99,i26_150_R.jpg,d,150,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,1,4.266000032,1,0,100,21,1,99,i10_50_R.jpg,d,50,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,1.667999983,1,0,100,66,1,99,i30_150.jpg,s,150,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,2.351000071,1,0,100,70,1,99,i32_150.jpg,s,150,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,2.633000135,1,0,100,43,1,99,i20_50.jpg,s,50,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,1.251000166,1,0,100,75,1,99,i35_0.jpg,s,0,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
s,1,3.75,1,0,100,15,1,99,i7_100.jpg,s,100,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,1,2.65199995,1,0,100,31,1,99,i14_150_R.jpg,d,150,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,1,1.833000183,1,0,100,69,1,99,i32_100_R.jpg,d,100,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
d,0,2.586999893,1,0,100,61,1,99,i28_150.jpg,s,150,kas981,001,2020-04-14_10h09.49.352,MentalRotationFinal,3.1.2,60
