trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,0,2.304999828,1,0,100,38,1,99,i18_50.jpg,s,50,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,2.60800004,1,0,100,44,1,99,i20_150_R.jpg,d,150,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,1.853999853,1,0,100,30,1,99,i14_50_R.jpg,d,50,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,2.480999947,1,0,100,35,1,99,i16_150_R.jpg,d,150,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,2.519000053,1,0,100,98,1,99,i47_100.jpg,s,100,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,2.576999903,1,0,100,11,1,99,i5_100.jpg,s,100,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,2.480999947,1,0,100,19,1,99,i9_50_R.jpg,d,50,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,2.963000059,1,0,100,36,1,99,i17_50.jpg,s,50,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,0,1.986999989,1,0,100,55,1,99,i25_150_R.jpg,d,150,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,2.177999973,1,0,100,69,1,99,i32_100_R.jpg,d,100,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,1.756000042,1,0,100,63,1,99,i29_50.jpg,s,50,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,2.020999908,1,0,100,89,1,99,i41_100_R.jpg,d,100,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,2.269000053,1,0,100,50,1,99,i23_150_R.jpg,d,150,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,5.631999969,1,0,100,93,1,99,i43_100_R.jpg,d,100,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,2.134000063,1,0,100,13,1,99,i6_100.jpg,s,100,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,2.697000027,1,0,100,97,1,99,i46_100.jpg,s,100,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,1.278000116,1,0,100,62,1,99,i29_0.jpg,s,0,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,3.457999945,1,0,100,15,1,99,i7_100.jpg,s,100,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,2.382999897,1,0,100,74,1,99,i34_150.jpg,s,150,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,2.105000019,1,0,100,70,1,99,i32_150.jpg,s,150,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,3.687000036,1,0,100,80,1,99,i37_100_R.jpg,d,100,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,0.069999933,1,0,100,16,1,99,i8_50_R.jpg,d,50,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,3.888999939,1,0,100,21,1,99,i10_50_R.jpg,d,50,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,1.964999914,1,0,100,83,1,99,i38_150.jpg,s,150,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,1.684000015,1,0,100,82,1,99,i38_100_R.jpg,d,100,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,6.112999916,1,0,100,88,1,99,i40_150.jpg,s,150,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,1.651000023,1,0,100,48,1,99,i22_150_R.jpg,d,150,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,1.467999935,1,0,100,1,1,99,i1_50_R.jpg,d,50,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
d,1,3.463000059,1,0,100,76,1,99,i35_100_R.jpg,d,100,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,2.438999891,1,0,100,65,1,99,i30_50.jpg,s,50,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,2.57799983,1,0,100,58,1,99,i27_50.jpg,s,50,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
s,1,2.085999966,1,0,100,60,1,99,i28_50.jpg,s,50,ofj239,001,2020-04-14_10h09.43.780,MentalRotationFinal,3.1.2,60
